,1a,1b,1c,1d,1e,1f,1g,1h,1i,2a,2b,2c,2d,2e,2f,2g,2h,2i
2022/05/07 10:53:26,176.95993753763545,269.060572975326,158.77785517216182,124.80145531564946,124.40584077927396,110.55098847353712,125.83272286822387,370.03816233680817,335.33281543829554,832.140605549989,1042.4674035440578,782.0396188767994,208.39324774713077,184.73490066584702,232.81927968589918,102.26720498272078,119.7511291702192,109.3387653081848
2022/05/07 10:54:01,176.89372417635883,268.7625248151605,158.53344618384187,124.65931242804623,124.2162555296865,110.40906235002606,125.62706802065672,369.7326570702725,334.98490826354106,831.8669713065747,1042.1363131233231,781.5733336942197,208.17949020291695,184.4899981037171,232.52328534803516,102.21024218752062,119.58703032928707,109.16101081256096
2022/05/07 10:54:03,176.8275108150822,268.4644766549948,158.29881355505472,124.51716954044296,124.02667028009908,110.25767448494761,125.41206522547294,369.41696829485244,334.6071804738077,831.5744657360285,1041.7467949812822,781.0574437049827,207.92501693599573,184.23529943910196,232.21742453224238,102.15327939232043,119.42293148835495,108.97338106718021
2022/05/07 10:54:05,176.7518384021946,268.17604295160874,158.0641809262676,124.37502665283974,123.83708503051166,110.10628661986917,125.19706243028915,369.1012795194323,334.2294526840743,831.2819601654822,1041.3572768392412,780.5217117930825,207.67054366907448,183.98060077448687,231.91156371644954,102.08682279792022,119.24857646986457,108.77587607204259
2022/05/07 10:54:07,176.67616598930698,267.8876092482226,157.82954829748047,124.2328837652365,123.64749978092422,109.94543701322331,124.98205963510534,368.7855907440122,333.8517248943409,830.989454594936,1040.9580207436493,779.9959008425141,207.41607040215325,183.72590210987173,231.60570290065678,102.02036620352001,119.07422145137417,108.57837107690499
2022/05/07 10:54:09,176.6004935764194,267.59917554483656,157.58513930916052,124.09074087763324,123.45791453133678,109.78458740657747,124.76705683992154,368.4699019685921,333.47399710460763,830.6875133608236,1040.5782405551593,779.4700898919453,207.16159713523206,183.47120344525658,231.29984208486394,101.95390960911979,118.89986643288378,108.39074133152424
2022/05/07 10:54:11,176.45860780225516,267.2145972736551,157.27229580411102,123.90121702749558,123.20197444439376,109.5669673505272,124.49596635903761,368.0014605599041,332.9571064449725,830.1213735468631,1039.7115626891184,778.5275985654546,206.8053345615423,183.11854375578952,230.88545001185435,101.83998401871945,118.66397434904385,108.1537353373591
2022/05/07 10:54:12,176.31672202809094,266.8204045456941,156.9594522990615,123.70221698485105,122.93655509497135,109.34934729447693,124.22487587815368,367.53301915121625,332.44021578533733,829.5741050600343,1038.8254089159752,777.5751862776323,206.44907198785262,182.76588406632243,230.47105793884472,101.72605842831909,118.42808226520391,107.91672934319398
2022/05/07 10:54:14,176.1748362539267,266.4262118177331,156.63683243447917,123.50321694220649,122.67113574554894,109.13172723842666,123.95378539726977,367.0747612514127,331.9133849207092,829.026836573206,1037.9003033286283,776.6227739898098,206.14370406754713,182.41322437685528,230.0566658658351,101.61213283791872,118.19219018136398,107.67972334902883
2022/05/07 10:54:50,176.03295047976243,266.02240463299256,156.31421256989688,123.30421689956196,122.41519565860591,108.91410718237638,123.67334696876915,366.6063198427249,331.37661385108805,828.4795680863772,1036.936245927077,775.6306778566616,205.8383361472417,182.06056468738822,229.6324073148967,101.49820724751838,117.95629809752405,107.43284210510681
2022/05/07 10:54:51,175.8816056539873,265.61859744825205,155.98181634578177,123.09574066441053,122.14977630918348,108.69648712632612,123.39290854026855,366.1175114162679,330.81996237148104,827.9134282724166,1035.9332367113216,774.5988978781874,205.52278929625933,181.69810889543592,229.1884158081007,101.38428165711802,117.71014983612588,107.17608561142791
2022/05/07 10:54:53,175.71134272499017,265.1955613499524,155.64942012166665,122.8872644292591,121.88435695976108,108.46940532870843,123.11247011176795,365.6083359720419,330.253370686881,827.33785279489,1034.9010136349132,773.5571969383816,205.1868845839233,181.3258570009984,228.72469134544707,101.26086226751762,117.45374539716941,106.91932911774902
2022/05/07 10:54:55,175.5410797959931,264.78213970843234,155.31702389755154,122.67878819410767,121.61893761033868,108.24232353109078,122.82268373565064,365.0889770189313,329.68677900228096,826.7622773173633,1033.849314651403,772.515495998576,204.85097987158733,180.95360510656093,228.26096688279347,101.13744287791725,117.19734095821298,106.65269737431322
2022/05/07 10:54:57,175.35189876377413,264.3494891533532,154.95529859483804,122.45135957394248,121.32508047347815,108.01524173347309,122.51420146429997,364.5187005213983,329.02078526775097,826.1772661762709,1032.3788836651984,771.1662452574943,204.46418050586703,180.55196490466784,227.74791003049583,101.00452968911682,116.93068034169826,106.38606563087744
2022/05/07 11:06:14,205.46951909303598,304.96095459011497,170.38239393759227,138.2481724829165,133.40166087219765,118.40423397448163,132.5165054141551,408.20595363598966,363.28467187856484,945.4251823235053,1170.87205906784,867.1713880622539,225.29027267070023,197.6363676388516,249.49362738557156,114.96990831236063,129.0329698604426,115.63917465307479
2022/05/07 11:06:16,206.08435744774772,305.82625570027324,170.8614355546993,138.59879160567115,133.7334350589757,118.67862447993632,132.81563973788906,409.04100136452024,364.02024704804563,946.8688388491049,1173.0825745239222,868.8877143726004,225.7585034818353,198.03800784074468,249.98695128201157,115.2452284891615,129.2175810564912,115.90580639651057
2022/05/07 11:06:18,206.67081864762653,306.6915568104315,171.311148093208,138.93993453591892,134.0652092457537,118.95301498539102,133.11477406162305,409.8556820752819,364.7458820125334,948.2936240475723,1175.234662258698,870.5643568376211,226.20637643161666,198.43964804263777,250.460542222594,115.51105486676232,129.43296078521465,116.17243813994637
2022/05/07 11:06:53,207.24782079589446,307.5472434638103,171.7510842721839,139.28107746616672,134.3969834325317,119.21794374927829,133.40456043774034,410.67036278604354,365.46157677202814,949.7184092460398,1177.367274086372,872.2112364186472,226.654249381398,198.83149214204565,250.93413316317643,115.77688124436317,129.6380843363798,116.43906988338216
2022/05/07 11:06:55,207.82482294416232,308.402930117189,172.181244091627,139.62222039641452,134.7287576193097,119.48287251316557,133.69434681385763,411.3730248990754,366.1176303015651,951.1431944445073,1179.081153911352,873.6299338890493,227.0715855391488,199.19394793399795,251.3682581920436,116.04270762196398,129.84320788754496,116.69582637706104
2022/05/07 11:06:57,208.40182509243024,309.25861677056776,172.61140391107003,139.96336332666232,135.05105254360836,119.74780127705286,133.97478524235825,412.0655035032227,366.75380342111606,952.5491083158429,1180.7852957827808,875.0287894367884,227.4889216968996,199.54660762346504,251.79251674298203,116.30853399956483,130.0483314387101,116.95258287073995
2022/05/07 11:06:59,208.9693681890872,310.1046889671669,173.04156373051313,140.30450625691012,135.373347467907,120.01273004094016,134.25522367085887,412.7579821073701,367.38997654066696,953.9455865236124,1182.479699700659,876.4078030618645,227.90625785465045,199.89926731293212,252.21677529392045,116.57436037716568,130.25345498987528,117.20933936441885
